Wheat Vulnerability GNN - Analysis Pipeline Log
============================================================

Experiment: gcn_run_1
Date: 2025-09-17 01:03:35

Pipeline Steps:
------------------------------
[01:03:21] Vulnerability Analysis Started: Using latest experiment gcn_run_1 for year 2021
[01:03:21] Model Loading: Successfully loaded model with config: 3 GCN layers, 12 features
[01:03:29] Data Processing: Analyzing 125 countries with 26699 trade records
[01:03:29] Future Prediction Mode: Predicting 2021 vulnerability using latest available data (2020)
[01:03:35] Prediction Generation: Generated vulnerability predictions for 1 years
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
[01:03:35] Trade Data Source: Using 2020 trade data for 2021 prediction
