Wheat Vulnerability GNN - Analysis Pipeline Log
============================================================

Experiment: gcn_run_2
Date: 2025-09-16 23:48:07

Pipeline Steps:
------------------------------
[23:47:57] Vulnerability Analysis Started: Using latest experiment gcn_run_2 for year 2021
[23:47:57] Model Loading: Successfully loaded model with config: 3 GCN layers, 12 features
[23:48:05] Data Processing: Analyzing 125 countries with 26699 trade records
[23:48:05] Future Prediction Mode: Predicting 2021 vulnerability using latest available data (2020)
[23:48:07] Prediction Generation: Generated vulnerability predictions for 1 years
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
[23:48:07] Trade Data Source: Using 2020 trade data for 2021 prediction
